Name,Count
PAPACHRISTOS,102
KEANEY,1556
AWAWDEH,262
STEDRY,123
HOVHANNISYAN,637
STROBERT,160
VASILENKO,271
PILLATZKI,135
BOZIC,618
ALOISI,451
CLAVELLI,114
ARFLIN,181
BURGETT,5399
ARIS,854
ENSTROM,377
TURCO,2380
JEONG,5404
CROGHAN,1273
PESKEY,103
PULKOWSKI,142
MATTORANO,109
RUCKDESCHEL,323
DECATOR,239
REWERTS,543
BUTZIN,412
MOHATT,166
SCHUK,127
GREMLING,131
DISCHLER,340
MAIKISCH,108
SUITERS,209
ARAUZ,2156
MAYWEATHERS,124
MITTERMEIER,124
OTWORTH,148
SERIGHT,308
MELERO,1627
FESPERMAN,699
ARENSMAN,195
RUBERTI,266
SCHMALENBERGER,232
SNYDERS,444
CHICKERING,806
ADACHI,851
REICHOW,508
SCHUNEMAN,455
DAMITZ,361
DOCKUM,323
HAIME,109
DUMONTIER,156
MELTABARGER,102
GULASH,115
NOVE,145
GREENSTONE,312
BELLAVANCE,748
SWINHART,130
AEBISCHER,246
COLESCOTT,138
LUCASH,245
HERBER,1490
RANTS,203
KUBALL,235
GOODSELL,2113
MILMAN,612
BONDIE,232
PRIMAVERA,1176
HOSAFLOOK,163
WILLEFORD,1495
MANHARDT,241
RIVERATORRES,309
SPITZLEY,610
EAGERTON,193
DRUCK,504
KREY,983
TESTOLIN,118
FARD,332
WHISNER,547
EBRON,1502
JURKOWSKI,973
MATSUSHIMA,461
BROOKER,4979
POTERACKI,108
UBEDA,373
WILKERSON,48444
VOLANTI,117
LEWARNE,107
DEREMER,1218
VANDYNE,1510
WINTERHALDER,132
FASOLINO,360
CHATURVEDI,537
HERPIN,360
HEYKOOP,154
TULE,395
RIGGEN,562
VIERS,2413
BUTZER,537
KROHNE,236
UMEH,354
WOOLLUMS,185
SAYOC,127
HATHORNE,520
FEIT,767
NOGUERAS,736
ROUTZAHN,481
HUSKO,113
MANICA,201
KI,784
HOLLWAY,284
ANSANI,114
VANDUYNE,935
CARROS,212
LENKO,158
RIAZI,157
DARFLER,124
FALAGAN,103
KAULBACK,154
NOMEE,188
BLYMIRE,181
OLIDEN,257
WITTLE,141
BECHTLE,396
ABITZ,511
KIMLING,138
FLUSCHE,353
WILLYARD,760
ELISHA,328
SMITHPETERS,201
CULAK,108
PETTEY,1562
SOMERSTEIN,121
SPENCE,36129
CASAIS,196
FETTERS,4473
SULKA,179
BUDWORTH,170
STAKER,1451
MUGRAGE,296
SEHY,173
ZIEGER,462
PERSHA,224
SHANNAHAN,514
MITCHINER,150
RADMER,268
LAFLEY,134
HEAP,1903
VANBOXTEL,295
SIEM,378
COLACINO,336
SPINDEL,453
WECKERLY,550
CUTSAIL,162
KALSTAD,110
WITTNEBEL,252
APPLE,6948
DUREPO,106
KLAWON,146
RUSIGNUOLO,116
VANDERMYDE,180
KAERCHER,767
SORRENTINO,4956
ZAVODNY,376
FAUMUI,133
BADAR,361
ISODA,108
FIORELLA,866
YOUNDT,162
KERRISON,201
CUDDIE,164
PARISEK,124
PAKULA,493
SALTZMANN,131
DOUB,874
SCELZO,167
SUHM,164
BLADEK,194
MAGNAN,1153
SLIFKIN,151
LYGA,322
BRAAK,111
GLISIC,104
SPADAFINO,173
PLOOF,1598
TERRALL,120
GOLDENBAUM,145
ESTILETTE,171
DEO,1578
MILITO,515
GODARD,987
DHUKKA,111
MUSCARI,284
TAVAKE,109
WASILEWSKI,2204
BALLAST,164
STIEGMAN,209
VINCE,1729
FITZSIMONS,1855
HASEGAWA,1559
DANNHAUS,102
STARKOVICH,339
MAKAREVICH,160
ROSSBERG,304
VEERAMACHANENI,256
VANOPDORP,166
COLODNY,116
ODACHOWSKI,182
RAYNE,687
CIMA,558
MOALES,129
PELTON,5753
VEITZ,134
LAMEY,1178
NEUPAUER,146
THORSEN,3121
DUFOUR,4647
CLAUDIO,6679
KINLOCK,270
LEBERKNIGHT,100
NAVAJO,125
BOISE,810
ANGIANO,311
KUPFERSCHMID,271
YOSHII,198
GALLUCCIO,412
HELGASON,213
WALLSTROM,156
CORMIE,153
FREYTAG,973
SKOLFIELD,150
MIGLIAZZO,143
REILEY,1537
WIRTALA,125
MCCOOL,7259
BUCKETT,240
TABLIT,115
LONNER,127
WEATHERUP,149
MEICHTRY,124
WOODLY,125
EISMAN,895
BLENIS,177
CAMINITA,135
NUZZOLO,217
MOOREHOUSE,581
KELONE,115
AMITUANAI,108
MIRKIN,432
DULAC,1167
MARKUSSEN,267
ENGELBERGER,128
ROTHAMEL,132
SCHUMACKER,280
RAVIZZA,149
SCHOETTMER,356
PERETTI,657
KRISKA,304
BILTZ,627
TENNIN,105
CAPITO,566
FOLLET,157
STREETS,2124
COTTLES,153
BORON,924
DERINGTON,394
WIERNICKI,122
WIORA,138
DIACONESCU,127
POWANDA,202
NICHELSON,620
KRUCKMAN,114
SHELLEY,14300
SEWARD,10399
DANKNER,108
BLOUCH,462
BUMBAUGH,422
BABWAH,100
VARALLO,417
TENNIAL,166
SHATSWELL,444
NERIDA,110
PROVINCE,1681
EDGECOMB,1223
PRIEGEL,114
BEDSOLE,1197
ZEFFREN,101
GAGLIA,237
POTERE,119
ROLA,300
ZENTZ,1121
WISMER,1076
MANTEI,510
CANTERBURY,4449
SOVINSKI,147
SIK,287
MAHELONA,196
ROLLY,110
CALIGIURI,920
EARVIN,413
DYAL,2093
STORKAMP,161
VEILLETTE,557
MARNIN,165
CONRADO,570
MESHULAM,146
GREDELL,100
NATALE,5529
OLCOTT,1184
BECKERICH,165
BELGER,608
OSLEY,551
TAGANAS,112
LICHTER,1297
ZIEMKIEWICZ,118
BAUER,65004
GENSON,657
KISSLING,910
TODY,209
COURMIER,181
TULLI,258
NEM,224
LITTLEJOHN,12047
LIPS,603
HOLTMAN,2035
KLEAR,203
SCHWING,1566
LOESCHER,761
RIMPLE,101
SAYAVONG,830
CHOWDHURY,11961
TATNALL,155
HENDZEL,220
ENNELS,144
BACHLI,102
WEEG,267
FRONEK,504
LENSSEN,144
PIGA,110
TOOKES,1168
DEMITA,145
LOSEE,2006
FORBORD,179
BOUCHER,20050
ROBY,9315
KOTKE,140
MADLE,120
TRANCOSO,258
ROTHBART,329
MARTH,1413
ADAMCZEWSKI,110
FORKEY,488
CARMEAN,1570
BRUMBLES,123
SPOONE,186
BASKA,277
GRAMBY,186
DENI,252
SCHNEEBERGER,910
SIRGO,123
BEVILL,1720
JARMOLOWICZ,110
BRUSZEWSKI,113
HASZ,426
BUCKLER,3926
IOLI,154
COWHEY,218
PLATFOOT,203
STIRSMAN,141
SCHIHL,168
PREUS,239
WIGENT,344
STRICKLIN,5483
FUIMAONO,408
KERMAN,634
HEYLAND,102
SIDDON,172
LOGES,506
KUBIT,395
POTI,185
RAPTIS,604
HERCULES,2449
LECHLEITNER,357
CICERCHIA,129
BORCHARD,566
BUISSON,302
KONCZ,248
RACKLIFFE,373
NOGLE,529
LIFKA,168
SELA,514
KALDOR,298
PINKAS,198
EDELHEIT,128
PORTUGUES,120
CORTI,435
UKANI,149
DESANO,142
OVERLAND,1105
SCHIPMAN,162
WITZGALL,163
SALTS,544
MARTINEZORTIZ,405
BRAGE,130
KOLIOPOULOS,118
HUDACKO,120
URQUIETA,463
LATOUCHE,561
TABAREZ,963
WEDELL,631
HOCKMAN,3242
BLOMFIELD,102
PETNER,103
KILLINS,294
SAGEHORN,264
THISTLETHWAITE,310
BRUNO,30883
DELABAR,235
MUTHUSAMY,250
RICHCREEK,459
MAHLEY,149
SAMUELIAN,338
TREVILLIAN,386
HO,49817
DESOMER,115
GAWORSKI,169
DARJEE,321
BHATTA,268
MOHRLAND,121
CARRAL,225
FIVECOATS,111
VARDEMAN,425
ESTADES,114
RUT,157
KATZMARK,100
RASS,176
LEIGHTON,8399
BENHAM,4955
FERRANDINO,411
ZEHNLE,107
HERDEGEN,285
RASUL,813
JODON,313
BAUDRY,186
GALVAO,619
MORENZ,287
BROSTROM,606
FORDON,146
MCKUNE,663
ROTTENSTEIN,107
FRANCO,69943
BODWIN,162
ROEMMICH,489
KNAUB,1570
JUCHA,209
DOMSCHOT,103
BUGHER,320
BERINGER,2363
ENGSTLER,119
OCKEY,285
JUAN,7350
MARINER,1262
SCHEMA,130
OGNIBENE,530
TRIMARCHE,103
HEERWAGEN,108
CRANOR,885
ZAMPIERI,180
MEHARRY,198
WHAN,409
CRONISTER,334
MANZEL,103
KRANZUSCH,117
CROSS,77557
SYRUS,198
CLOSSEY,206
FUA,196
LIPIN,142
STIEL,183
BAO,2643
LUO,10005
LEDIN,618
ZENT,799
BERROTH,122
KORD,192
SLONECKER,290
KRYSZAK,243
AUG,283
DOORLAG,169
AMARIS,142
KONST,214
IDNANI,124
KRONMILLER,238
CHAYA,331
CHITTY,1826
SAROLI,102
BARRAND,289
JOLLIE,439
EVELO,109
CABBAGE,331
HAGIE,247
SZUCH,540
ENRICO,585
KIELTY,805
MARTYNOWICZ,110
STRAMARA,107
MCNICKLE,455
VILLAGOMEZ,11282
NESTE,202
NIGGEMANN,150
COZIER,318
RODERIQUES,257
GOLDSTONE,1000
REISBECK,162
SCHEPKER,226
SCHICHTEL,378
ALLIGOOD,1962
TALIAN,112
PITONIAK,329
KHAY,106
KONIECZKA,501
BOZAN,135
TOPPEN,253
WILLINGS,139
FUGUA,165
BONTEMPO,974
MACBAIN,268
EHREDT,217
HUBERTS,114
SEVEY,456
NEANOVER,104
HERZBERG,1939
COOPERWOOD,519
BLAINE,6451
WISCOMBE,391
BRUESCH,354
ARINZE,159
MCGARIGLE,110
DEAY,119
AMPEY,218
SALBER,245
STAYDUHAR,113
DUERRE,196
AUGE,861
GRAYHAM,100
SALANGA,290
BOURJOLLY,110
KULJIS,185
GARBACK,174
SCHOENWETTER,308
SPEYER,590
LUKSIC,228
CICCIARELLI,233
KOVACK,515
DORICH,208
HWA,281
NIEMEYER,4332
TENGLER,284
SCHRICKER,332
REAGER,245
ARISTIDE,509
SCHIEFFELIN,113
LUHN,478
BUGAI,130
BALASKO,145
KUCHENMEISTER,266
BARANOSKI,392
TIJERINA,8626
IZELL,121
OSCHWALD,123
ALCAREZ,327
SIMRELL,329
ALOZIE,175
CITALAN,119
SEIFRIED,935
SAVIDGE,1103
WETTERS,120
AZINGER,182
KOTY,150
SAP,119
FAMBLE,134
LELIS,168
CORCHADO,2055
MCILVENNA,167
LEDEBUHR,149
WHINERY,866
SARNA,1002
MAGNUM,113
SHIMADA,950
LEIDHOLM,116
CECILIANO,210
YAMANO,143
HUGHES,236271
FABICH,167
ARANEDA,160
FAHRENKOPF,135
ERIXON,108
ACCURSO,671
RINGWELSKI,275
QUEZON,230
LACEY,18691
SANDS,18584
VAIA,126
JUNELL,235
CHIPKIN,101
RUFFATTO,180
HOMS,178
PUDLOWSKI,159
BLEIBERG,190
LOWEN,849
LANIADO,259
VASQUEZRODRIGU,113
YEM,523
CARLISI,404
GYORKOS,161
BARHYDT,245
KESSELRING,1001
RONDY,105
GHELFI,200
ASEN,169
TREANOR,1572
VANMATRE,1246
MCGURRAN,160
MULLERY,200
PERRIGAN,235
BULKO,132
TASCA,427
VIRUETE,117
GULDAN,303
SHKOLNIKOV,127
RINGS,395
KELTON,2717
SERFATY,129
KNOER,131
TYNON,140
BORIA,743
VANGOOR,138
HALVORSON,6298
GIACOMA,152
AMITH,134
LEARNARD,173
KAGLEY,112
COOPRIDER,468
QUINTANO,289
FINERSON,130
ORT,1946
CAUFFMAN,603
SHRULL,103
HERSCHMAN,149
WORTHEY,1698
GOLEMI,118
RANGAN,187
STEFANINI,239
LUSSON,190
DUNKELBERG,193
KRIVENKO,111
GREEVER,508
GANE,302
GEERING,190
NIPE,100
VOCKE,410
BARNETT,95681
BRITTING,285
UHRICK,267
TREVENA,335
EFFERSON,465
TULLGREN,118
MIES,728
BAGI,192
TADROS,1496
RICKEY,2523
BILLECI,304
KOSER,1270
HOFIUS,292
RIBLET,212
PHOTHIRATH,203
HARMELING,384
VAHEDI,136
GEISMAR,182
LAMPHIEAR,129
KULSTAD,104
BENARI,132
CHARLIE,1402
AMBACH,186
HERGET,733
HOBBA,116
EAREGOOD,147
HEIBEL,629
LYNN,37644
PIRNIE,325
ALZUBAIDY,103
LENCI,291
FROSSARD,262
HOLOCKER,183
SAEVA,130
ASAL,141
AGOSTINO,1050
SHAUVER,104
MANNUZZA,110
LUBKE,370
LYNEM,129
DEMAROIS,102
REGINELLI,258
MELAD,106
SHOBE,1647
BUCHMEIER,370
SHAVOR,125
MCCHRISTIAN,890
MOMPLAISIR,293
PROFITA,169
DILLENBACK,114
KUNKE,154
FRATI,198
THREAT,730
REINDOLLAR,118
TACK,1668
PITALO,138
WIENING,133
GUTHIER,300
ROHBOCK,119
HENDON,3398
MABARDY,112
BIRTWISTLE,131
BREITRICK,128
CUSON,137
GORZALSKI,104
FAHRLANDER,117
ARSEMENT,168
LAFLUER,213
WOOLSTON,1107
GLONEK,199
BERTOVICH,191
THURGOOD,959
DETTLAFF,232
SLUSARCZYK,372
NGOM,192
STOCKMASTER,325
BEAUNE,192
DICLAUDIO,182
AREVALO,23895
POPMA,366
SCLAR,198
PEABODY,5345
LAGALA,226
SCERRI,120
BERTRAN,421
FOLTYN,292
MOXLEY,4421
HATCHETTE,164
RUDEEN,398
RAHMANIAN,149
ARETT,109
RABIDUE,115
KUNDA,538
BORETSKY,111
ARCINAS,140
SAMBOLA,175
KOTAL,136
BOGHOSSIAN,399
ESKEY,135
REPINE,422
BREAUX,12705
WERTHEIMER,1116
KIECKHEFER,107
BOCH,676
NTI,164
RONDEROS,159
KOSKINIEMI,179
HILDAGO,202
JASEN,194
DARBRO,190
SCULLIN,766
KUEBRICH,136
BAHNS,165
SHILLINGER,210
KENDIG,1661
COCO,3264
HIBSHMAN,528
SOBOTTKA,130
WIBOWO,231
PESCATELLO,121
DRIER,583
WINHAM,308
JARACZ,272
LANSBERG,100
ASTRELLA,153
HAGGLUND,480
GREYERBIEHL,116
SORDAHL,169
NASRIN,150
PATULLO,199
BALTODANO,1056
SAVAGE,49914
LUNGARO,138
ZUSMAN,287
BLATCHER,159
WAS,353
ATTARD,881
GARCIAM,126
TARRIS,168
CUNILL,112
BRESTER,400
SEVERINSEN,199
RIEPMA,141
TOYE,1140
KEENAN,20353
DOXIE,327
PANGMAN,146
MIEHE,169
DAGATA,364
SCHIELKE,355
PATTENAUDE,311
WERCBERGER,150
CADDEL,208
BORTOLUSSI,179
SOFIO,168
RUNFOLA,375
SHALL,342
SARELLANO,267
FREISMUTH,162
NELDER,157
ULTSCH,210
FERO,650
SKELLY,4157
RODREQUEZ,122
CHINNOCK,262
SPECCHIO,116
SAHIBZADA,140
SCHAAL,1984
LEPREVOST,115
LAURENDINE,207
MOLTHAN,112
CIOBANU,299
REDDING,15767
KULINICH,132
VOLLENTINE,112
AUBERTINE,150
URDANG,100
RICHICHI,339
LI,111786
COBER,232
VOUNG,112
DEROSS,300
BENROTH,162
RUPARD,677
BALSDON,153
RONCI,176
ATHON,218
WROBLE,312
BANDELIN,165
TITTERMARY,105
CARRABINE,143
SEBASTIAO,149
WIEBERDINK,148
SANTIAGOLOPEZ,341
SAMI,1117
SY,4457
SIAM,363
FELLHOELTER,129
BLUEM,138
VANFOSSEN,2147
TENDICK,214
ALONGE,484
BENCOMO,2563
SHOUMAN,129
ALON,568
GROCKI,314
INGEGNERI,213
BATENHORST,323
DUSSAN,122
VESPERMAN,250
FANTON,459
JUNEK,338
SHIFFLETT,8544
HOFFBAUER,211
BADOUR,538
AUGELLO,941
GOODRICH,19487
KOKOSINSKI,109
VALAVANIS,100
WARRING,604
WIERZCHOWSKI,170
BHALERAO,133
BIERS,423
HERINK,225
LAES,126
KELLON,142
BRALEY,3924
LARIBEE,157
KOMOTO,158
YOAS,236
GILLECE,113
MAXIMIN,137
GRILLONE,114
CENTORE,286
PUTZIG,122
SCARABINO,143
PEZOLD,263
GILGALLON,180
PLANK,6534
SIMMONDS,4379
ENOCHSON,107
CHAPPUIS,460
ROZWADOWSKI,196
PULASKI,1900
DERMONT,121
KASDAN,225
FINIZIO,381
TAHAN,439
HEININGER,284
PENHALLEGON,127
BIBBO,496
LAMASTRA,233
MATLIN,359
RADOM,124
CHOUHAN,211
PARETTE,144
DULICK,135
SOHN,4796
DANGOL,143
GERLINGER,185
ESER,138
WOERZ,196
GACEVIC,117
ALLEGRO,493
BLADEL,194
HALBISEN,103
BROUDY,182
RADOSEVIC,173
BAJEK,386
GERM,157
IBRAHEM,145
LISY,255
FORNANDER,103
VALDOVINO,261
MENTA,502
SOLISMARTINEZ,110
GOERGEN,893
GOTTSCHALK,5010
DISHNEAU,123
BASNAW,118
AMDOR,164
LAMBIRTH,185
FORMA,135
AUDIBERT,308
BESTARD,105
BOETTINGER,176
PENKA,319
ANLEU,195
GRISTINA,120
BERKE,2734
DORAISWAMY,132
TIKHONOV,168
GORALCZYK,324
FAULKENBERRY,1726
SORIA,14477
SCHLARMAN,297
WEDGWORTH,160
LOU,2945
GRIEFF,240
SHAFOR,122
ZIEMSKI,291
ERSKINE,5258
ORPIN,203
GEBHART,3367
BELASKI,193
CULBRETH,2929
TRIMPEY,253
TEMPERO,104
PHANORD,282
PREDA,264
SAEDI,165
BEMBEN,111
SCHAN,137
KERNELL,294
KOMISAR,303
BANGLE,425
BUCHANON,1092
IONESCU,853
HAMBY,13823
HILBOURN,120
FROMMELT,556
SEGRETI,354
BILLINGHAM,413
RUCKER,26581
RANESES,182
MERE,388
PRIEMER,210
ESTRADAPEREZ,115
DEHERNANDEZ,144
GIERSZEWSKI,132
YUNK,347
INGENITO,730
AVENARIUS,148
MINTHORN,260
TREVILLYAN,124
BREBNER,240
SABANDO,220
HARDICK,387
DEGROFT,160
SHULTS,4146
KAYA,1455
ANGERAME,167
GISH,3768
VEERARAGHAVAN,143
SHETTERLY,668
ROBNETT,1154
ANDRETTI,122
ANTOLIN,1082
FITZ,3846
WIGREN,288
PILANT,491
LINNE,612
STYPULA,178
AGRILLO,145
SANDOVALPEREZ,108
ZAPPI,106
RITH,196
DROZDA,376
WUERTH,314
MOLENDA,786
FUEMMELER,342
BARRINO,399
AVETYAN,156
STPREUX,244
GOLDA,464
JOHNESE,144
DLABAJ,123
JINDRICH,134
COPSON,217
ROSENCRANS,936
TATARKA,221
ZIEMAN,878
ALCASID,139
FRYS,185
HASBUN,444
JAKUBAUSKAS,104
BUNAO,130
STITT,5946
KHALIQI,160
TARANTOLA,344
DEVOTO,373
MATIC,645
GARTIN,1089
CAVANAGH,4086
DALBORA,145
UYENO,515
DRISSI,110
FRETER,145
SAWMILLER,372
JONIEC,184
BELICA,156
ENGBLOM,378
MAGGIORA,186
GIENGER,506
YUKICH,149
CRAANEN,111
SCHARICH,173
BISCOGLIO,102
URSIN,560
HERNS,100
CANES,135
ELOVITZ,121
FORNWALT,519
JEFTS,134
TRUMBO,1629
SAINTPIERRE,379
JEBBIA,104
LASTIE,105
CZUPRYNSKI,204
BOBHOLZ,146
SARIAN,409
OVESON,424
HAZLEY,622
PATILLO,1823
CARTMELL,894
WILLHIDE,261
BECKSTRAND,688
CANCELMO,100
ROXBERRY,219
POOLMAN,176
ALLEGRI,156
PICKREL,578
OK,961
SEIDENSTRICKER,172
BRAIMAH,144
MINUS,650
ACUFF,2458
BOGREN,200
OFRAY,162
PATTIN,248
CRIM,4552
CARRABINO,123
FUERY,158
DEYHLE,171
CHAFE,353
WITZIGMAN,115
STOFLET,248
CREMINS,321
ADOLPH,1874
FULKROD,162
DULIN,3998
ILLI,113
FROGNER,155
CRERAR,147
CHUMBLEY,1538
TAUMOEPEAU,133
BENTLEY,40193
BRICELAND,193
EGGEN,1643
NERDAHL,124
LEME,135
CHOON,139
FINOCCHI,163
HAMWAY,226
PAUER,182
KOZIMOR,131
GORAYA,292
ADDERSON,103
HROBOWSKI,114
DLUBAC,110
SENEY,808
CHESSMORE,169
TERNES,1413
SAYYAD,179
MASSINGILLE,107
METZKER,491
LUTHER,13906
MUSTONEN,160
HAILEY,8327
KERG,146
TONKS,588
BRONOWSKI,176
STINTON,285
LANDKAMER,176
SAAM,561
PINELLO,228
KAVADAS,151
RAMIRIZ,265
LUMMUS,1483
SLINGSBY,283
HAUSSERMANN,117
WALTMIRE,168
KAAI,354
WILBERG,329
ARCIBAR,136
MAHLE,1151
KIMBALL,23293
DEIN,260
PELLONI,166
DARYANANI,170
KNOTEN,125
JOSEY,4131
BALLIS,366
TELLINGHUISEN,315
BISGROVE,180
DENTICI,123
PREW,594
BARTKOSKI,186
ITSKOVICH,175
FRANCISKOVICH,128
SULZMANN,101
PENNETTA,146
OXENHAM,162
DABYDEEN,114
CERVONI,316
WERTANEN,122
BRYCELAND,122
SOSENKO,171
BERGANZA,689
RINNER,276
FEDOCK,184
NEIDER,927
WILLARD,21352
BELOTE,1538
KRICHTEN,130
STERTZBACH,128
PICCIUTO,167
EICKMANN,164
DRUSCH,170
WOJNICKI,228
CARPENA,253
LELL,262
VON,474
PIETERS,932
QUINTELA,714
MAIA,1018
BAMBARA,174
WITT,31575
IFILL,917
FRISELL,121
HAUSSMANN,309
ANICK,110
CAPELA,270
OREL,349
MAKANI,156
APOL,154
FORTES,1988
QUINTRELL,255
GOMEZRAMIREZ,351
DELOS,269
SCHAUST,104
BAYSE,376
FORZIATI,153
WITTUM,118
HUYLER,371
CHIV,212
COPSEY,763
DEZELAN,116
KEELAND,214
SLIM,862
NIXA,102
UYEMATSU,121
HUNNEL,273
GARCELON,240
OLIBRICE,216
MANUKIAN,223
CAMET,111
MALTEZO,108
VIVINO,177
MARTUSCELLO,221
ROESELER,235
BARAHONA,8844
MERGENDAHL,113
DRESDEN,392
JUSKO,389
ENTRIKEN,199
MURFIELD,161
HALAC,129
SHUBRICK,132
REDMILES,130
GROWCOCK,146
WOLFSWINKEL,185
VERICKER,122
CENGIZ,129
CAHIR,127
GOUGER,437
VASILKO,128
FURNARI,983
DIVIAK,114
VAYNBERG,156
DILUCIANO,118
BETZER,623
CARNE,560
PATRICIAN,119
GITHENS,663
PANDIAN,334
TERKILDSEN,160
PALAT,110
CARTMAN,174
GANDOLFI,427
DADICH,112
HERLEHY,149
LATKOWSKI,195
ANGELLY,133
GAMET,553
LOURIA,140
NARES,509
GLUNT,877
REBELLO,2290
FENNO,515
RAZMUS,177
VANHOESEN,592
LOWINGER,403
MOHSENI,390
CASILIO,162
BARNEY,16404
ALCOBA,163
WADFORD,560
RECKERS,340
ROSPIGLIOSI,101
PLASEK,168
CONNOLLY,29710
KOVICK,107
AIYER,100
HEDEGAARD,132
CONOR,158
STRABLEY,118
ENSINGER,424
CANNIDA,141
RAYON,946
GOATES,562
LECOUNT,830
SAMBO,385
BUKOVAC,257
GAISSER,128
AJANEL,527
AKERSTROM,161
MIZZELL,786
BOLIG,257
LUSCOMBE,475
CROSSE,368
JACHENS,105
BARTOLD,179
HERMUS,127
BILBAO,945
DYKGRAAF,135
MAHUKA,111
KEATS,689
PAAL,179
KURTTI,219
OGAWA,1887
AGUGLIA,244
BUCCELLATO,634
SQUITIERI,616
MCMURDO,386
WAMBAUGH,309
MATSUI,1059
HONNEN,120
MALOLES,100
MARLIN,5602
REVOLUS,119
KOSASIH,103
DENKO,104
URANGA,1266
LOPEZMIRANDA,110
DAHLENBURG,228
MONTELEON,104
HARGROVE,20360
KALISKY,102
DARST,2028
CENTINO,101
INGLEBY,142
YARUSSI,105
BLAMER,258
TESTA,8694
SATOR,199
AMBRE,145
FEICKERT,422
WILLCUTT,844
KUERBITZ,105
KOCISKO,115
HARAHAN,112
LEONOR,868
KOCHMAN,602
SELVAGE,1137
VOEHRINGER,128
HEARY,348
MCNIVEN,346
MENAPACE,513
PAJARITO,251
MCGLASSON,1047
BRACH,1251
ROURICK,103
ADRIANZEN,179
BARTUSEK,274
VELTEN,465
COUTINHO,920
SKROVE,126
SPRINGS,3911
WESTERLING,213
KAIS,170
KOZLOWSKI,10358
OSTHEIMER,355
JALBERT,2306
FEITL,124
LATVA,143
HANISCH,742
OROUKE,181
LAGGE,141
NDAO,196
ROSGA,101
DAGGETT,5035
SALCINES,108
ROYS,946
SANJUAN,4232
PALLOZZI,239
WICKENDEN,142
LAPOS,101
VANYA,151
CHEVERIE,252
RENNELS,460
ACHOR,404
VESPUCCI,165
TESCHLER,159
LACKORE,232
HERLEY,231
STRAUSBAUGH,1930
CAPOSSELA,208
ZITZELSBERGER,129
BALKARAN,570
ARMOR,878
SOUTHERS,1327
POLICKY,250
GOTHELF,167
SAVEL,328
NATARELLI,145
TEKLE,1054
MCSORLEY,1788
GLOSSNER,161
BAHA,241
WERVE,100
LAROSEE,220
GRYGIEL,448
NAZ,744
GLADISH,745
LASHELLE,157
ADISA,182
VANHEEL,512
PADAR,110
LUKSHA,111
CHAPIN,10175
GRIFFY,630
GEISWITE,100
HALPERN,4121
ALBACH,362
ROLPH,1370
STODGELL,127
MCCARTHA,330
BADLANI,112
VINET,450
BETHEL,7573
THIESING,190
DORMADY,262
KIRIAKOS,169
